game,ply,move_number,side,fen_before,played_move,played_uci,best_uci,best_san,best_score_cp,after_score_cp,loss_cp,phase,is_capture,mate_event
1,1,1,White,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,e2e4,e2e4,e4,30,33,0,opening,False,False
1,2,1,Black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,e7e5,c7c5,c5,-35,-33,0,opening,False,False
1,3,2,White,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,g1f3,g1f3,Nf3,33,33,0,opening,False,False
1,4,2,Black,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,d7d6,g8f6,Nf6,-33,-48,15,opening,False,False
1,5,3,White,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Bc4,f1c4,d2d4,d4,48,46,2,opening,False,False
1,6,3,Black,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,Be7,f8e7,f8e7,Be7,-46,-43,0,opening,False,False
1,7,4,White,rnbqk1nr/ppp1bppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,d4,d2d4,d2d4,d4,43,41,2,opening,False,False
1,8,4,Black,rnbqk1nr/ppp1bppp/3p4/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,exd4,e5d4,e5d4,exd4,-41,-40,0,opening,True,False
1,9,5,White,rnbqk1nr/ppp1bppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,Nxd4,f3d4,f3d4,Nxd4,40,37,3,opening,True,False
1,10,5,Black,rnbqk1nr/ppp1bppp/3p4/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq - 0 5,Nf6,g8f6,g8f6,Nf6,-38,-39,1,opening,False,False
1,11,6,White,rnbqk2r/ppp1bppp/3p1n2/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 1 6,f3,f2f3,b1c3,Nc3,37,-48,85,opening,False,False
1,12,6,Black,rnbqk2r/ppp1bppp/3p1n2/8/2BNP3/5P2/PPP3PP/RNBQK2R b KQkq - 0 6,O-O,e8g8,d6d5,d5,30,24,6,opening,False,False
1,13,7,White,rnbq1rk1/ppp1bppp/3p1n2/8/2BNP3/5P2/PPP3PP/RNBQK2R w KQ - 1 7,O-O,e1g1,b1c3,Nc3,-14,-39,25,opening,False,False
1,14,7,Black,rnbq1rk1/ppp1bppp/3p1n2/8/2BNP3/5P2/PPP3PP/RNBQ1RK1 b - - 2 7,c5,c7c5,d6d5,d5,35,-5,40,opening,False,False
1,15,8,White,rnbq1rk1/pp2bppp/3p1n2/2p5/2BNP3/5P2/PPP3PP/RNBQ1RK1 w - - 0 8,Nf5,d4f5,d4e2,Ne2,5,-143,148,opening,False,False
1,16,8,Black,rnbq1rk1/pp2bppp/3p1n2/2p2N2/2B1P3/5P2/PPP3PP/RNBQ1RK1 b - - 1 8,a6,a7a6,c8f5,Bxf5,143,-153,296,opening,False,False
1,17,9,White,rnbq1rk1/1p2bppp/p2p1n2/2p2N2/2B1P3/5P2/PPP3PP/RNBQ1RK1 w - - 0 9,Nxe7+,f5e7,f5e7,Nxe7+,169,76,93,opening,True,False
1,18,9,Black,rnbq1rk1/1p2Nppp/p2p1n2/2p5/2B1P3/5P2/PPP3PP/RNBQ1RK1 b - - 0 9,Qxe7,d8e7,d8e7,Qxe7,-75,-86,11,opening,True,False
1,19,10,White,rnb2rk1/1p2qppp/p2p1n2/2p5/2B1P3/5P2/PPP3PP/RNBQ1RK1 w - - 0 10,Bg5,c1g5,c1g5,Bg5,84,78,6,opening,False,False
1,20,10,Black,rnb2rk1/1p2qppp/p2p1n2/2p3B1/2B1P3/5P2/PPP3PP/RN1Q1RK1 b - - 1 10,h6,h7h6,c8e6,Be6,-78,-118,40,opening,False,False
1,21,11,White,rnb2rk1/1p2qpp1/p2p1n1p/2p3B1/2B1P3/5P2/PPP3PP/RN1Q1RK1 w - - 0 11,Bh4,g5h4,g5h4,Bh4,77,52,25,opening,False,False
1,22,11,Black,rnb2rk1/1p2qpp1/p2p1n1p/2p5/2B1P2B/5P2/PPP3PP/RN1Q1RK1 b - - 1 11,g5,g7g5,c8e6,Be6,-52,-239,187,opening,False,False
1,23,12,White,rnb2rk1/1p2qp2/p2p1n1p/2p3p1/2B1P2B/5P2/PPP3PP/RN1Q1RK1 w - - 0 12,Bg3,h4g3,h4g3,Bg3,239,239,0,opening,False,False
1,24,12,Black,rnb2rk1/1p2qp2/p2p1n1p/2p3p1/2B1P3/5PB1/PPP3PP/RN1Q1RK1 b - - 1 12,Ne8,f6e8,f8d8,Rd8,-239,-248,9,middlegame,False,False
1,25,13,White,rnb1nrk1/1p2qp2/p2p3p/2p3p1/2B1P3/5PB1/PPP3PP/RN1Q1RK1 w - - 2 13,Nc3,b1c3,b1c3,Nc3,248,248,0,middlegame,False,False
1,26,13,Black,rnb1nrk1/1p2qp2/p2p3p/2p3p1/2B1P3/2N2PB1/PPP3PP/R2Q1RK1 b - - 3 13,Nc6,b8c6,c8e6,Be6,-248,-564,316,middlegame,False,False
1,27,14,White,r1b1nrk1/1p2qp2/p1np3p/2p3p1/2B1P3/2N2PB1/PPP3PP/R2Q1RK1 w - - 4 14,Nd5,c3d5,c3d5,Nd5,564,494,70,middlegame,False,False
1,28,14,Black,r1b1nrk1/1p2qp2/p1np3p/2pN2p1/2B1P3/5PB1/PPP3PP/R2Q1RK1 b - - 5 14,Qd8,e7d8,e7d8,Qd8,-494,-453,0,middlegame,False,False
1,29,15,White,r1bqnrk1/1p3p2/p1np3p/2pN2p1/2B1P3/5PB1/PPP3PP/R2Q1RK1 w - - 6 15,f4,f3f4,f3f4,f4,453,366,87,middlegame,False,False
1,30,15,Black,r1bqnrk1/1p3p2/p1np3p/2pN2p1/2B1PP2/6B1/PPP3PP/R2Q1RK1 b - - 0 15,b5,b7b5,b7b5,b5,-372,-339,0,middlegame,False,False
